timestamp,IP,fullLog,alertID,alertName,rule_firedtimes,affectedLogAtomValues,generalAlertType,CPU_NewAvg,CPU_NewN,CPU_NewVar,CPU_OldAvg,CPU_OldN,CPU_OldVar,CPU_Range,DNS_expected_frequency,DNS_expected_frequencyRange,DNS_frequency
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],23,AMiner: New user_end parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],24,AMiner: New user_cmd parameter combination in Audit logs.,/,['None'],New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],25,AMiner: New cred_acq parameter combination in Audit logs.,/,"['None', 'None', 'None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4388]: pam_unix(cron:session): session opened for user www-data by (uid=0)'],26,AMiner: New apparmor parameter combination in Audit logs.,/,"['None', 'None']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['Jan 21 00:00:01 cloud-share CRON[4389]: (www-data) CMD (/usr/local/bin/occ system:cron)'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,"['type=USER_ACCT msg=audit(1642723201.745:569): pid=4388 uid=0 auid=4294967295 ses=4294967295 msg=\'op=PAM:accounting acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,"['type=USER_ACCT msg=audit(1642723201.745:569): pid=4388 uid=0 auid=4294967295 ses=4294967295 msg=\'op=PAM:accounting acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",19,AMiner: New user_acct parameter combination in Audit logs.,/,"['0', ""'op=PAM:accounting"", '""www-data""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,"['type=CRED_ACQ msg=audit(1642723201.745:570): pid=4388 uid=0 auid=4294967295 ses=4294967295 msg=\'op=PAM:setcred acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,"['type=CRED_ACQ msg=audit(1642723201.745:570): pid=4388 uid=0 auid=4294967295 ses=4294967295 msg=\'op=PAM:setcred acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",25,AMiner: New cred_acq parameter combination in Audit logs.,/,"['0', ""'op=PAM:setcred"", '""www-data""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['type=LOGIN msg=audit(1642723201.745:571): pid=4388 uid=0 old-auid=4294967295 auid=33 tty=(none) old-ses=4294967295 ses=98 res=1'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,['type=LOGIN msg=audit(1642723201.745:571): pid=4388 uid=0 old-auid=4294967295 auid=33 tty=(none) old-ses=4294967295 ses=98 res=1'],16,AMiner: New login parameter combination in Audit logs.,/,"['0', '33']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,"['type=USER_START msg=audit(1642723201.753:572): pid=4388 uid=0 auid=33 ses=98 msg=\'op=PAM:session_open acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:01,172.19.130.106,"['type=USER_START msg=audit(1642723201.753:572): pid=4388 uid=0 auid=33 ses=98 msg=\'op=PAM:session_open acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",18,AMiner: New user_start parameter combination in Audit logs.,/,"['0', ""'op=PAM:session_open"", '""www-data""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:02,172.19.130.106,"['Jan 21 00:00:02 cloud-share CRON[4388]: (CRON) info (No MTA installed, discarding output)']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:02,172.19.130.106,"['type=CRED_DISP msg=audit(1642723202.573:573): pid=4388 uid=0 auid=33 ses=98 msg=\'op=PAM:setcred acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:02,172.19.130.106,"['type=CRED_DISP msg=audit(1642723202.573:573): pid=4388 uid=0 auid=33 ses=98 msg=\'op=PAM:setcred acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",22,AMiner: New cred_disp parameter combination in Audit logs.,/,"['0', ""'op=PAM:setcred"", '""www-data""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:02,172.19.130.106,"['type=USER_END msg=audit(1642723202.573:574): pid=4388 uid=0 auid=33 ses=98 msg=\'op=PAM:session_close acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:02,172.19.130.106,"['type=USER_END msg=audit(1642723202.573:574): pid=4388 uid=0 auid=33 ses=98 msg=\'op=PAM:session_close acct=""www-data"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",23,AMiner: New user_end parameter combination in Audit logs.,/,"['0', ""'op=PAM:session_close"", '""www-data""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: query[A] 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 192.168.230.4'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: query[A] 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 192.168.230.4'],27,AMiner: New ip address in DNS logs.,/,['192.168.230.4'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: query[A] 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 192.168.230.4'],28,AMiner: New query record in DNS logs.,/,['A'],New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: query[A] 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 192.168.230.4'],30,AMiner: High entropy in DNS domain.,/,['3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info'],Value entropy anomaly detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: forwarded 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.230.122'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: forwarded 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.230.122'],27,AMiner: New ip address in DNS logs.,/,['192.168.230.122'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,192.168.231.254,['Jan 21 00:00:09 dnsmasq[3326]: reply 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info is 195.128.194.168'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,172.19.128.1,['Jan 21 00:00:09 dnsmasq[3468]: query[A] 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 10.143.0.103'],27,AMiner: New ip address in DNS logs.,/,['10.143.0.103'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:09,172.19.128.1,['Jan 21 00:00:09 dnsmasq[3468]: forwarded 3x6-.596-.IunWTzebVlyAhhHj*ZfWjOBun1zAf*Wgpq-.YarqcF7oovex5JXZQp35nThgDU1Q3p3lT/-.DM6Vx/vcq3AkrO4Xh2kjojk8RCiDE2wjSv-.gY6ONv8eNmDck8gGwJ8fU3PPctbthfeDZT-.customers_2017.xlsx.email-19.kennedy-mendoza.info to 192.168.231.254'],27,AMiner: New ip address in DNS logs.,/,['192.168.231.254'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:22,10.143.0.35,"['{""agent"":{""hostname"":""intranet-server"",""name"":""intranet-server"",""id"":""d8e6f857-ec88-4cf5-bc5e-7b72a6fd1e33"",""ephemeral_id"":""c6b20ae2-38c0-4ada-8be2-2d607fddf7e9"",""version"":""7.13.2"",""type"":""metricbeat""},""service"":{""type"":""system""},""event"":{""module"":""system"",""dataset"":""system.cpu"",""duration"":630326},""@version"":""1"",""metricset"":{""period"":45000,""name"":""cpu""},""host"":{""cpu"":{""pct"":0.0678},""name"":""intranet-server""},""ecs"":{""version"":""1.9.0""},""@timestamp"":""2022-01-21T00:00:22.284Z"",""tags"":[""beats_input_raw_event""],""system"":{""cpu"":{""iowait"":{""pct"":2.0E-4,""norm"":{""pct"":2.0E-4}},""steal"":{""pct"":7.0E-4,""norm"":{""pct"":7.0E-4}},""irq"":{""norm"":{""pct"":0},""pct"":0},""softirq"":{""pct"":2.0E-4,""norm"":{""pct"":2.0E-4}},""cores"":1,""user"":{""pct"":0.0283,""norm"":{""pct"":0.0283}},""total"":{""norm"":{""pct"":0.0678},""pct"":0.0678},""nice"":{""pct"":0,""norm"":{""pct"":0}},""idle"":{""pct"":0.932,""norm"":{""pct"":0.932}},""system"":{""pct"":0.0386,""norm"":{""pct"":0.0386}}}}}']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:00:31,192.168.231.254,['Jan 21 00:00:31 dnsmasq[3326]: query[A] 3x6-.597-.L**fA/ib4pGEIb5*uJ223L5A/pWGilEyrR-.u9lQ3wFEj1tPwCHh73wG6GKKEMkqDT/d*3-.LvX0RzIuTHdNz11Xyw21NB8jaa8CNw7CaC-.yai016WDS1Ypa5Tr/uckb0Hv2k9C1eU7Og-.customers_2017.xlsx.email-19.kennedy-mendoza.info from 192.168.230.4'],29,AMiner: New characters in DNS domain.,/,['3x6-.597-.L**fA/ib4pGEIb5*uJ223L5A/pWGilEyrR-.u9lQ3wFEj1tPwCHh73wG6GKKEMkqDT/d*3-.LvX0RzIuTHdNz11Xyw21NB8jaa8CNw7CaC-.yai016WDS1Ypa5Tr/uckb0Hv2k9C1eU7Og-.customers_2017.xlsx.email-19.kennedy-mendoza.info'],New character(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:01:07,10.143.0.35,"['{""service"":{""type"":""system""},""agent"":{""hostname"":""intranet-server"",""name"":""intranet-server"",""id"":""d8e6f857-ec88-4cf5-bc5e-7b72a6fd1e33"",""ephemeral_id"":""c6b20ae2-38c0-4ada-8be2-2d607fddf7e9"",""version"":""7.13.2"",""type"":""metricbeat""},""event"":{""module"":""system"",""dataset"":""system.cpu"",""duration"":732367},""@version"":""1"",""metricset"":{""period"":45000,""name"":""cpu""},""host"":{""cpu"":{""pct"":0.0439},""name"":""intranet-server""},""ecs"":{""version"":""1.9.0""},""@timestamp"":""2022-01-21T00:01:07.284Z"",""tags"":[""beats_input_raw_event""],""system"":{""cpu"":{""iowait"":{""norm"":{""pct"":2.0E-4},""pct"":2.0E-4},""steal"":{""pct"":5.0E-4,""norm"":{""pct"":5.0E-4}},""irq"":{""pct"":0,""norm"":{""pct"":0}},""softirq"":{""norm"":{""pct"":2.0E-4},""pct"":2.0E-4},""user"":{""pct"":0.0211,""norm"":{""pct"":0.0211}},""nice"":{""pct"":0,""norm"":{""pct"":0}},""total"":{""pct"":0.0439,""norm"":{""pct"":0.0439}},""cores"":1,""idle"":{""pct"":0.9559,""norm"":{""pct"":0.9559}},""system"":{""pct"":0.0221,""norm"":{""pct"":0.0221}}}}}']",35,AMiner: CPU value out of expected range in monitoring logs.,/,[0.0439],Value range anomaly detected,/,/,/,/,/,/,"[0.0678, 0.0678]",/,/,/
2022-01-21 00:02:27,192.168.231.254,['Jan 21 00:02:27 dnsmasq[3326]: query[TXT] current.cvd.clamav.net from 192.168.230.4'],28,AMiner: New query record in DNS logs.,/,['TXT'],New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:02:27,192.168.231.254,['Jan 21 00:02:27 dnsmasq[3326]: forwarded current.cvd.clamav.net to 8.8.8.8'],27,AMiner: New ip address in DNS logs.,/,['8.8.8.8'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:02:27,192.168.231.254,['Jan 21 00:02:27 dnsmasq[3326]: query[AAAA] db.local.clamav.net from 192.168.230.4'],28,AMiner: New query record in DNS logs.,/,['AAAA'],New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:02:27,172.19.128.1,['Jan 21 00:02:27 dnsmasq[3468]: query[TXT] current.cvd.clamav.net from 172.19.130.4'],27,AMiner: New ip address in DNS logs.,/,['172.19.130.4'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:02:27,172.19.130.4,['Jan 21 00:02:27 mail freshclam[31104]: Fri Jan 21 00:02:27 2022 -> Received signal: wake up'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:02:37,172.19.128.1,['Jan 21 00:02:37 dnsmasq[3468]: cached db.local.clamav.net is <CNAME>'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:03:52,192.168.231.254,['Jan 21 00:03:52 dnsmasq[3326]: query[TXT] current.cvd.clamav.net from 192.168.231.56'],27,AMiner: New ip address in DNS logs.,/,['192.168.231.56'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:04:43,172.19.128.1,['Jan 21 00:04:43 dnsmasq[3468]: query[A] e6410.d.akamaiedge.net from 10.143.1.78'],27,AMiner: New ip address in DNS logs.,/,['10.143.1.78'],New value(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,192.168.231.164,['Jan 21 00:09:01 morris-mail systemd[1]: Starting Clean php session files...'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,172.19.130.4,"['type=USER_ACCT msg=audit(1642723741.017:1313): pid=6757 uid=0 auid=4294967295 ses=4294967295 msg=\'op=PAM:accounting acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",19,AMiner: New user_acct parameter combination in Audit logs.,/,"['0', ""'op=PAM:accounting"", '""root""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,172.19.130.4,"['type=CRED_ACQ msg=audit(1642723741.017:1314): pid=6757 uid=0 auid=4294967295 ses=4294967295 msg=\'op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",25,AMiner: New cred_acq parameter combination in Audit logs.,/,"['0', ""'op=PAM:setcred"", '""root""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,172.19.130.4,['type=LOGIN msg=audit(1642723741.021:1315): pid=6757 uid=0 old-auid=4294967295 auid=0 tty=(none) old-ses=4294967295 ses=57 res=1'],16,AMiner: New login parameter combination in Audit logs.,/,"['0', '0']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,172.19.130.4,"['type=USER_START msg=audit(1642723741.021:1316): pid=6757 uid=0 auid=0 ses=57 msg=\'op=PAM:session_open acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",18,AMiner: New user_start parameter combination in Audit logs.,/,"['0', ""'op=PAM:session_open"", '""root""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,172.19.130.4,"['type=CRED_DISP msg=audit(1642723741.025:1317): pid=6757 uid=0 auid=0 ses=57 msg=\'op=PAM:setcred acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",22,AMiner: New cred_disp parameter combination in Audit logs.,/,"['0', ""'op=PAM:setcred"", '""root""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:01,172.19.130.4,"['type=USER_END msg=audit(1642723741.025:1318): pid=6757 uid=0 auid=0 ses=57 msg=\'op=PAM:session_close acct=""root"" exe=""/usr/sbin/cron"" hostname=? addr=? terminal=cron res=success\'']",23,AMiner: New user_end parameter combination in Audit logs.,/,"['0', ""'op=PAM:session_close"", '""root""', '""/usr/sbin/cron""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:09,172.19.130.4,"['type=SERVICE_START msg=audit(1642723749.901:1319): pid=1 uid=0 auid=4294967295 ses=4294967295 msg=\'unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:09,172.19.130.4,"['type=SERVICE_START msg=audit(1642723749.901:1319): pid=1 uid=0 auid=4294967295 ses=4294967295 msg=\'unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success\'']",14,AMiner: New service_start parameter combination in Audit logs.,/,"['0', ""'unit=phpsessionclean"", '""systemd""', '""/lib/systemd/systemd""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:09,172.19.130.4,"['type=SERVICE_STOP msg=audit(1642723749.901:1320): pid=1 uid=0 auid=4294967295 ses=4294967295 msg=\'unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success\'']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:09,172.19.130.4,"['type=SERVICE_STOP msg=audit(1642723749.901:1320): pid=1 uid=0 auid=4294967295 ses=4294967295 msg=\'unit=phpsessionclean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success\'']",15,AMiner: New service_stop parameter combination in Audit logs.,/,"['0', ""'unit=phpsessionclean"", '""systemd""', '""/lib/systemd/systemd""']",New value combination(s) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 TLS: soft reset sec=3308/3308 bytes=45748/-1 pkts=649/0'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,"['2022-01-21 00:09:11 jhall/192.168.230.165:46011 VERIFY OK: depth=1, C=AT, ST=Vienna, L=Vienna, O=Some Organisation GmbH, CN=OpenVPN CA, emailAddress=admin@organisation.cyberrange.at']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 VERIFY KU OK'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 Validating certificate extended key usage'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,"['2022-01-21 00:09:11 jhall/192.168.230.165:46011 ++ Certificate has EKU (str) TLS Web Client Authentication, expects TLS Web Client Authentication']",3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 peer info: IV_VER=2.4.4'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 peer info: IV_PLAT=linux'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 peer info: IV_PROTO=2'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 peer info: IV_LZ4=1'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
2022-01-21 00:09:11,172.19.131.174,['2022-01-21 00:09:11 jhall/192.168.230.165:46011 peer info: IV_COMP_STUB=1'],3,AMiner: New event type.,/,/,New path(es) detected,/,/,/,/,/,/,/,/,/,/
